page_id,page_namespace,page_title,page_restrictions,page_is_redirect,page_is_new,page_random,page_touched,page_links_updated,page_latest,page_len,page_content_model,page_lang
77,1,Web_browser,,0,0,0.774173624243,20190128194137,,196853,4437,wikitext,
78,1,Boot_device,,0,0,0.487993025914,20070116002553,,36428,291,wikitext,
79,4,Featured_article_candidates,,1,0,0.389900085232,20200121232637,,1136669,51,wikitext,
80,0,Beekeeping,,0,0,0.916533197237,20200223111334,20200223111333,6432820,1370,wikitext,
83,0,British_English,,0,0,0.54683723233,20200212042720,20200215181928,6737852,5307,wikitext,
84,1,British_English,,0,0,0.138678813418,20180228162142,20190514160102,5374531,9829,wikitext,
85,0,Being,,0,0,0.760530140605,20191121113811,20191121113921,6488341,534,wikitext,
87,0,Bootstrap,,1,0,0.506386969009,20200212093713,,36434,19,wikitext,
88,0,Bootlace,,1,0,0.0718926648013,20200212093713,,36435,19,wikitext,
89,0,Beijing,,0,0,0.272946046792,20200219155918,20200219152642,6827139,16451,wikitext,
90,0,Bottle,,0,0,0.115680890677,20200212133810,20200212133831,5452216,486,wikitext,
91,0,Berry,,0,0,0.80836163266,20200112124019,20200112124318,6554784,2215,wikitext,
93,0,Boil,,0,0,0.531476366581,20191218130923,20191218131135,4405513,193,wikitext,
94,0,Beard,,0,0,0.657548096337,20200224074628,20200224074636,5000551,734,wikitext,
95,1,Basic_English_international_wordlist,,0,0,0.791137099169,20100117042137,,36442,211,wikitext,
98,0,Black,,0,0,0.533087604462,20200211143548,20200211143548,6783325,1888,wikitext,
99,1,Black,,0,0,0.389821571945,20120119015829,,3292270,200,wikitext,
100,0,Bubonic_plague,,0,0,0.0973399519442,20200218170647,20200218171047,6815509,8211,wikitext,
101,0,Biology,,0,0,0.11744212225,20200213130510,20200213130349,6799462,3921,wikitext,
102,0,Botany,,0,0,0.6300987702,20200218112212,20200218112329,6594480,3273,wikitext,
103,0,Belgium,,0,0,0.859711291203,20200218170647,20200218171051,6798596,33840,wikitext,
104,0,Brazil,,0,0,0.314777294786,20200219003953,20200219004108,6827236,13971,wikitext,
105,0,Britain,,1,0,0.30686522662,20200127211717,20191120055739,5303744,27,wikitext,
108,0,Chemistry,,0,0,0.583448879227,20200209022356,20200209022356,6812884,7520,wikitext,
109,0,Compound,,0,0,0.958317470717,20200201211044,20200201211044,5040874,156,wikitext,
110,0,Computer_science,,0,0,0.746695386594,20200223134230,20200223134230,6810092,7144,wikitext,
111,4,Wikipedia_down,,0,0,0.0422126678946,20200112193752,,1534493,2422,wikitext,
112,0,Computer,,0,0,0.288648772653,20200222170025,20200222170020,6835758,25964,wikitext,
114,0,Chinese,,0,0,0.516905354111,20200121143445,20200121143827,5831219,235,wikitext,
117,0,Continent,,0,0,0.28137736315,20200203150938,20200203151245,6789126,7599,wikitext,
118,0,Classical_Elements,,1,0,0.478028107191,20191229024102,20191229024102,4994520,49,wikitext,
119,0,Classical_element,,0,0,0.898971502622,20200218134807,20200218141112,5607322,914,wikitext,
120,0,China,,0,0,0.272860951849,20200222144911,20200222145035,6835685,26175,wikitext,
121,0,Country,,0,0,0.965745707027,20200203150938,20200203151245,6801012,5287,wikitext,
122,0,Colchester,,0,0,0.945182218191,20200206154001,20200206161139,6690361,3171,wikitext,
123,4,Copyrights,,0,0,0.441135804374,20200222192831,20200222192909,6377091,6382,wikitext,
124,2,CyberMaus,,0,0,0.363963114267,20100827080638,,36467,120,wikitext,
125,3,CyberMaus,,0,0,0.821131915236,20120428213622,,36468,976,wikitext,
